crop,state,site,year,transect,honey_bee,bumble_bee,other_bee,syrphid,wasp,other_insect,wild_bee,all_bees,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean
apple,mi,1,2013,0,7,0,1,3,0,0,1,8,11,41.1,0.266517306
apple,mi,1,2013,25,5,1,2,0,0,0,3,8,12.8,48.9,0.259573587
apple,mi,1,2013,50,6,0,5,0,0,0,5,11,14.4,53,0.270454469
apple,mi,1,2013,100,9,1,10,0,0,0,11,20,12.3,45.7,0.27062892
apple,mi,1,2014,0,2,1,1,0,0,0,2,4,0.7,174.6,0.00458386
apple,mi,1,2014,25,4,2,2,0,0,0,4,8,7.4,245.6,0.021931433
apple,mi,1,2014,50,6,1,0,0,0,0,1,7,7.2,229.5,0.032932711
apple,mi,1,2014,100,4,0,0,0,0,0,0,4,7.3,111.3,0.078736256
apple,mi,1,2015,0,6,0,4,1,0,0,4,10,7.6,104.2,0.076869995
apple,mi,1,2015,25,5,0,3,0,0,0,3,8,13,116.6,0.123879641
apple,mi,1,2015,50,6,1,1,0,0,0,2,8,9.4,148.4,0.06329728
apple,mi,1,2015,100,15,0,3,0,0,0,3,18,13.6,132,0.100602181
apple,mi,2,2013,0,11,0,5,0,0,0,5,16,4.3,93.5,0.060443947
apple,mi,2,2013,25,16,0,7,0,0,0,7,23,1.7,70.3,0.024571861
apple,mi,2,2013,50,27,0,14,0,0,0,14,41,2.3,75.8,0.030727164
apple,mi,2,2014,0,143,23,113,16,0,0,136,279,24.2,139.5,0.172035918
apple,mi,2,2014,25,171,33,120,20,0,0,153,324,20.2,104.6,0.183490709
apple,mi,2,2014,50,215,37,144,16,0,0,181,396,20.3,122.1,0.16277288
apple,mi,2,2015,0,74,2,34,1,0,0,36,110,0.5,114.2,0.005311992
apple,mi,2,2015,25,81,2,53,1,0,0,55,136,0,88.4,0
apple,mi,2,2015,50,112,1,74,0,0,0,75,187,0,111.9,0
apple,mi,3,2013,0,8,1,7,1,0,0,8,16,7.3,32.5,0.226493855
apple,mi,3,2013,25,1,0,1,0,0,0,1,2,9.4,40.5,0.23622648
apple,mi,3,2013,50,1,1,4,0,0,0,5,6,11.1,50.3,0.22028366
apple,mi,3,2013,100,2,0,3,1,0,0,3,5,13.2,52.1,0.251180439
apple,mi,3,2014,0,10,1,4,2,0,0,5,15,6.3,126.2,0.049450661
apple,mi,3,2014,25,5,0,1,0,0,0,1,6,7.9,205.2,0.04018033
apple,mi,3,2014,50,6,0,0,0,0,0,0,6,7.5,195.5,0.045265582
apple,mi,3,2014,100,1,0,0,0,0,0,0,1,9.3,137.1,0.071111499
apple,mi,3,2015,0,3,0,4,1,0,0,4,7,2.9,46.8,0.058566307
apple,mi,3,2015,25,2,2,5,0,0,0,7,9,4.8,69.5,0.055717585
apple,mi,3,2015,50,7,0,5,0,0,0,5,12,4.3,33.3,0.112804864
apple,mi,3,2015,100,4,0,3,0,0,0,3,7,4.7,60.8,0.078564467
apple,mi,4,2013,0,62,0,3,0,0,0,3,65,4.6,52.6,0.088051255
apple,mi,4,2013,25,54,2,1,1,0,0,3,57,5.2,70.9,0.075442267
apple,mi,4,2013,50,51,0,8,1,0,0,8,59,5.6,69.2,0.080760969
apple,mi,4,2013,100,39,1,2,0,0,0,3,42,6.4,62.2,0.098148447
apple,mi,4,2014,0,82,1,2,0,0,0,3,85,3,48,0.089172971
apple,mi,4,2014,25,167,8,6,0,0,0,14,181,2.7,22.2,0.170129833
apple,mi,4,2014,50,171,11,3,0,0,0,14,185,11.5,59.2,0.215796941
apple,mi,4,2014,100,172,3,2,0,1,1,5,177,10.5,71.6,0.156840534
apple,mi,4,2015,0,51,5,10,1,0,0,15,66,4.3,36.2,0.118660744
apple,mi,4,2015,25,52,1,8,0,0,0,9,61,2.4,25.1,0.105762238
apple,mi,4,2015,50,52,4,22,0,0,0,26,78,2.4,38.9,0.066239168
apple,mi,4,2015,100,16,5,16,0,0,0,21,37,3.2,39.8,0.088679021
apple,mi,5,2013,0,9,0,16,0,0,0,16,25,7.7,68.9,0.096062197
apple,mi,5,2013,25,9,0,2,0,0,0,2,11,8.9,65.2,0.12624639
apple,mi,5,2013,50,8,0,10,0,0,0,10,18,5,78.2,0.077290225
apple,mi,5,2013,100,13,0,5,0,1,0,5,18,10,67.7,0.134535752
apple,mi,5,2014,0,52,0,31,5,0,0,31,83,1.7,40,0.044308304
apple,mi,5,2014,25,112,0,23,6,0,0,23,135,4.5,36.6,0.143042604
apple,mi,5,2014,50,98,1,14,1,0,0,15,113,4.3,29.6,0.161641175
apple,mi,5,2014,100,70,1,9,0,0,0,10,80,2.6,47.4,0.056325168
apple,mi,5,2015,0,5,0,61,2,0,0,61,66,3.1,28.5,0.117623701
apple,mi,5,2015,25,8,0,21,0,0,0,21,29,4.2,37,0.136609119
apple,mi,5,2015,50,13,1,20,0,0,0,21,34,4.1,32.6,0.122637128
apple,mi,5,2015,100,5,0,16,0,0,0,16,21,6.4,41.3,0.155000936
